Year,Sample,Enclosure,CB,NV,WY,UT
2013,SBFSE238,SE,0.2635,0.557125,0.0245,0.155
2013,SBFSE239,SE,0.04075,0.876875,0.06125,0.020875
2013,SBFSE240,SE,0.089125,0.8485,0.039125,0.02325
2013,SBFSE241,SE,0.32275,0.532,0.03175,0.113875
2013,SBFSE242,SE,0.3145,0.615125,0.05025,0.02
2013,SBFSE243,SE,0.242875,0.573875,0.15325,0.02975
2013,SBFSE244,SE,0.401125,0.545875,0.03025,0.0225
2013,SBFSE245,SE,0.058625,0.86975,0.037625,0.033875
2013,SBFSE246,SE,0.20175,0.352625,0.061,0.3845
2013,SBFSE247,SE,0.06225,0.65875,0.255125,0.02375
2013,SBFSE248,SE,0.46825,0.163625,0.3555,0.0125
2013,SBFSE249,SE,0.3515,0.513375,0.08,0.055375
2013,SBFSE250,SE,0.088375,0.71675,0.179625,0.0155
2013,SBFSE251,SE,0.09175,0.8185,0.053,0.036875
2013,SBFSE252,SE,0.1395,0.668125,0.160625,0.031875
2013,SBFSE253,SE,0.1725,0.780125,0.02625,0.021
2013,SBFSE254,SE,0.401875,0.49075,0.078375,0.028875
2013,SBFSE255,SE,0.0715,0.766625,0.133625,0.028625
2013,SBFSE256,SE,0.217375,0.56375,0.1655,0.053125
2013,SBFSE257,SE,0.057125,0.799,0.119625,0.024
2013,SBFSE258,SE,0.2945,0.60325,0.052875,0.049
2013,SBFSE259,SE,0.261125,0.5445,0.037125,0.15725
2013,SBFSE260,SE,0.330625,0.57825,0.050375,0.040625
2013,SBFSE261,SE,0.0945,0.687,0.1945,0.02425
2013,SBFSE262,SE,0.1925,0.4835,0.3065,0.017375
2013,SBFSE263,SE,0.038,0.873,0.05425,0.03475
2013,SBFSE264,SE,0.1265,0.460375,0.3385,0.07475
2013,SBFSE265,SE,0.42475,0.5245,0.02925,0.02175
2013,SBFSE266,SE,0.40875,0.52975,0.04025,0.021125
2013,SBFSE267,SE,0.0755,0.82425,0.084875,0.015375
2013,SBFSE268,SE,0.089375,0.673625,0.189,0.048
2013,SBFSE269,SE,0.170125,0.725875,0.0865,0.01775
2013,SBFSE270,SE,0.12025,0.825125,0.02725,0.0275
2013,SBFSE271,SE,0.092625,0.511875,0.29875,0.096375
2013,SBFSE272,SE,0.074,0.657375,0.0495,0.219
2013,SBFSE273,SE,0.048,0.787,0.081875,0.083
2013,SBFSE274,SE,0.073625,0.803625,0.095875,0.026625
2013,SBFSE275,SE,0.034,0.60375,0.090125,0.271875
2013,SBFSE276,SE,0.181,0.5915,0.173375,0.054125
2013,SBFSE277,SE,0.024875,0.69625,0.249,0.029875
2013,SBFSE278,SE,0.211375,0.380875,0.026125,0.38175
2013,SBFSE279,SE,0.347625,0.56175,0.058375,0.031875
2013,SBFSE280,SE,0.149625,0.792625,0.034875,0.02275
2013,SBFSE281,SE,0.0445,0.817375,0.1185,0.019875
2013,SBFSE282,SE,0.248,0.657,0.05675,0.03875
2013,SBFSE283,SE,0.078,0.78975,0.11075,0.021625
2013,SBFSE284,SE,0.087625,0.707375,0.1675,0.03775
2013,SBFSE285,SE,0.434625,0.450875,0.03675,0.077625
2013,SBFSE286,SE,0.05075,0.821,0.104375,0.0245
2013,SBFSE287,SE,0.03,0.6665,0.27975,0.023875
2013,SBFSE288,SE,0.383625,0.50475,0.0225,0.089
2013,SBFSE290,SE,0.224875,0.451875,0.294125,0.028875
2013,SBFSE291,SE,0.37725,0.4815,0.024,0.11725
2013,SBFSE292,SE,0.148625,0.80025,0.029,0.022
2013,SBFSE293,SE,0.369875,0.53875,0.05775,0.033625
2013,SBFSE294,SE,0.03775,0.850875,0.03875,0.07275
2013,SBFSE295,SE,0.141125,0.515625,0.293125,0.05
2013,SBFSE296,SE,0.09425,0.811875,0.034625,0.05925
2013,SBFSE297,SE,0.344375,0.51675,0.01825,0.1205
2013,SBFSE299,SE,0.05375,0.887375,0.032375,0.026125
2013,SBFSE300,SE,0.031875,0.58775,0.351625,0.028875
