RELEASE_YEAR	SAMPLE	Detections	Release_Date	Weight	CB_ANCESTRY	HL	Sex
2016	LE1031	0	160	366	0.227666667	0.121062708	1
2016	LE1032	0	160	279	0.146777778	0.364603395	2
2016	LE1033	0	160	255	0.188333333	0.276981707	1
2016	LE1034	0	160	120	0.350444444	0.593368027	1
2016	LE1036	0	160	368	0.359888889	0.170907376	1
2014	SBFLE488	0	162	158	0.048555556	0.213329872	2
2014	SBFLE490	0	162	389	0.365777778	0.112071003	1
2014	SBFLE491	0	162	222	0.071555556	0.165346384	2
2014	SBFLE492	0	162	354	0.063	0.182560869	2
2014	SBFLE493	0	162	420	0.290888889	0.22742876	1
2014	SBFLE494	0	162	453	0.336333333	0.22434939	2
2014	SBFLE495	0	162	339	0.056555556	0.221393788	1
2014	SBFLE496	0	162	346	0.548333333	0.409714657	1
2014	SBFLE497	0	162	484	0.064333333	0.105708969	2
2014	SBFLE498	0	162	260	0.024111111	0.225074382	2
2014	SBFLE499	0	162	371	0.061333333	0.388199635	2
2014	SBFLE500	0	162	235	0.030555556	0.262888943	1
2014	SBFLE501	0	162	421	0.019888889	0.1212452	1
2014	SBFLE502	0	162	398	0.159777778	0.167063906	2
2014	SBFLE503	0	162	263	0.035111111	0.108104157	2
2014	SBFLE504	0	162	435	0.163555556	0.303510408	1
2014	SBFLE505	0	162	426	0.149333333	0.177917511	2
2014	SBFLE506	0	162	163	0.076666667	0.228995297	2
2014	SBFLE507	0	162	446	0.160666667	0.164829515	2
2014	SBFLE508	0	162	434	0.341222222	0.237738972	1
2014	SBFLE509	0	162	400	0.039222222	0.052769636	1
2014	SBFLE510	0	162	263	0.159	0.055858986	1
2014	SBFLE511	0	162	536	0.054222222	0.166626114	2
2014	SBFLE512	0	162	461	0.490555556	0.288321023	2
2014	SBFLE513	0	162	413	0.028444444	0.346911789	2
2014	SBFLE514	0	162	317	0.088333333	0.179496298	2
2014	SBFLE515	0	162	198	0.432555556	0.228079858	2
2014	SBFLE516	0	162	461	0.057888889	0.052769636	2
2014	SBFLE517	0	162	238	0.122888889	0.161954025	1
2014	SBFLE518	0	162	194	0.120555556	0.101952172	1
2014	SBFLE519	0	162	463	0.059666667	0.352051701	2
2014	SBFLE520	0	162	387	0.245222222	0.228197375	1
2015	BE0847	0	162	146	0.2557	0.288767478	2
2015	BE0863	0	162	232	0.098	0.179119627	2
2015	BE0864	0	162	416	0.3493	0.35360829	2
2015	BE0865	0	162	421	0.1278	0.171868727	2
2015	BE0868	0	162	490	0.1466	0	1
2015	BE0869	0	162	445	0.1174	0.348453985	2
2015	BE0870	0	162	450	0.3934	0.23353473	2
2015	BE0871	0	162	223	0.2418	0.052514633	2
2015	BE0872	0	162	195	0.2802	0.298561127	1
2015	BE0873	0	162	435	0.1488	0.307017192	1
2015	BE0875	0	162	331	0.216	0.118576726	1
2015	BE0876	0	162	179	0.2213	0.281207392	1
2015	BE0877	0	162	426	0.2798	0.115117928	1
2015	BE0879	0	162	172	0.1872	0.223394241	2
2015	BE0881	0	162	253	0.3671	0	1
2015	BE0882	0	162	457	0.2681	0.113151235	1
2015	BE0883	0	162	481	0.1346	0.16539182	2
2015	BE0884	0	162	400	0.0985	0	2
2015	BE0885	0	162	132	0.2705	0	1
2015	BE0886	0	162	436	0.2683	0.103032404	1
2015	BE0887	0	162	314	0.0713	0.175410752	2
2015	BE0890	0	162	280	0.1268	0.068886665	2
2015	BE0892	0	162	369	0.324	0	2
2015	BE0894	0	162	135	0.3941	0.276864748	1
2015	BE0898	0	162	169	0.3435	0.122028145	1
2014	SBFLE487	0	162	558	0.260888889	0.231969164	2
2015	BE0896	0	162	260	0.3689	0.168306714	1
2013	SBFSE237	0	163	321	0.062625	0.240283116	2
2013	SBFLE213	0	163	384	0.0236	0.179061132	1
2013	SBFLE222	0	163	140	0.0265	0.158478605	2
2013	SBFSE269	0	163	367	0.170125	0.348886256	2
2013	DE229	0	163	108	0.000888889	0.473361881	1
2013	DE230	1	163	133	0.146888889	0.101952172	1
2013	DE231	0	163	102	0.000888889	0.408910533	2
2013	DE232	0	163	111	0.000888889	0.374393464	1
2013	DE233	0	163	149	0.000888889	0.222187651	1
2013	DE234	0	163	317	0.000888889	0.420058662	2
2013	DE235	0	163	192	0.005666667	0.105565988	1
2013	DE236	0	163	179	0.091111111	0.104007088	1
2013	DE237	0	163	153	0.001888889	0.284466405	1
2013	DE238	0	163	166	0.291222222	0.115117928	1
2013	DE239	0	163	295	0.002111111	0.17288473	2
2013	DE240	0	163	195	0.000888889	0.237035951	2
2013	DE242	0	163	103	0.000888889	0.535726746	1
2013	SBFLE224	0	163	320	0.0317	0.055858986	2
2013	SBFLE226	0	163	107	0.0168	0.06305706	2
2013	SBFSE270	0	163	169	0.12025	0.105570573	2
2013	SBFSE271	0	163	341	0.092625	0.068387383	1
2013	SBFSE272	0	163	193	0.074	0.162996632	1
2013	SBFSE273	0	163	129	0.048	0.107763885	1
2013	SBFSE275	0	163	158	0.034	0.249214128	1
2013	SBFSE276	0	163	216	0.181	0.056533576	1
2013	SBFSE277	0	163	150	0.024875	0.304069789	2
2013	SBFSE278	0	163	133	0.211375	0.167022827	2
2013	SBFSE280	0	163	397	0.149625	0.106545257	2
2013	SBFSE281	1	163	191	0.0445	0.226464056	1
2013	SBFSE284	0	163	375	0.087625	0.165353981	2
2013	SBFSE286	0	163	173	0.05075	0.342308903	2
2013	SBFSE287	1	163	204	0.03	0.186986215	1
2013	SBFSE290	0	163	383	0.224875	0.4667588	1
2013	SBFSE291	1	163	220	0.37725	0.270066355	2
2013	SBFSE292	0	163	226	0.148625	0.161778005	2
2013	SBFSE293	0	163	234	0.369875	0.173030805	2
2013	SBFSE294	0	163	159	0.03775	0.389277237	1
2013	SBFSE295	0	163	271	0.141125	0.332743243	1
2013	SBFSE296	0	163	155	0.09425	0.241386855	2
2013	SBFSE297	0	163	241	0.344375	0.243260371	2
2014	BE0425	0	163	277	0.377111111	0.173267318	2
2014	BE0428	0	163	324	0.082111111	0.215103407	2
2014	BE0433	0	163	288	0.552333333	0.179643409	1
2014	BE0434	0	163	310	0.164777778	0.11272274	1
2014	BE0438	0	163	295	0.240555556	0.288126127	2
2014	BE0440	0	163	303	0.188888889	0.172700428	1
2014	BE0441	0	163	472	0.310666667	0.106789201	1
2014	BE0442	1	163	161	0.380444444	0.412933097	1
2014	BE0443	1	163	394	0.321777778	0.1031708	1
2014	BE0444	0	163	309	0.112222222	0.292687253	2
2014	BE0445	0	163	519	0.303111111	0.157470886	1
2014	BE0446	0	163	445	0.251111111	0.27213014	1
2014	BE0447	0	163	333	0.131666667	0.101952172	2
2014	BE0448	0	163	172	0.421	0.248178869	1
2014	BE0449	0	163	415	0.470222222	0.22091512	1
2014	BE0450	0	163	163	0.136	0.226245611	2
2014	BE0451	0	163	475	0.174111111	0.122504503	2
2014	BE0452	0	163	420	0.339555556	0.22651159	2
2014	BE0453	0	163	350	0.048555556	0.105565988	1
