Year,Sample,CB,NV,WY,UT
2017,WA00219,0.1179,0.6723,0.2041,0.0058
2017,WA00156,0.1359,0.6531,0.2062,0.0046
2017,WA00157,0.1172,0.6337,0.2455,0.0036
2017,WA00158,0.1496,0.6862,0.1578,0.0065
2017,WA00159,0.1718,0.6575,0.1662,0.0044
2017,WA00160,0.1128,0.7026,0.1811,0.0036
2017,WA00161,0.1467,0.6476,0.201,0.0046
2017,WA00162,0.1285,0.6409,0.2259,0.0046
2017,WA00222,0.1477,0.7008,0.148,0.0037
2017,WA00163,0.1724,0.6493,0.1745,0.0039
2017,WA00164,0.1093,0.6681,0.2188,0.0038
2017,WA00165,0.131,0.6925,0.1709,0.0055
2017,WA00225,0.1196,0.6589,0.2154,0.006
2017,WA00224,0.1661,0.6642,0.1624,0.0071
2017,WA00191,0.133,0.6985,0.1632,0.0055
2017,WA00166,0.177,0.6645,0.1547,0.0038
2017,WA00167,0.2179,0.5782,0.1995,0.0045
2017,WA00168,0.123,0.662,0.211,0.004
2017,WA00169,0.1875,0.6624,0.1463,0.0039
2017,WA00170,0.1572,0.6694,0.1684,0.0047
2017,WA00171,0.1482,0.7175,0.1292,0.0048
2017,WA00172,0.1477,0.6494,0.1991,0.0039
2017,WA00173,0.153,0.5895,0.2525,0.0049
2017,WA00174,0.1742,0.6832,0.1362,0.0062
2017,WA00175,0.1411,0.6613,0.1921,0.0055
2017,WA00176,0.1219,0.6588,0.2145,0.0047
2017,WA00216,0.1507,0.6626,0.1815,0.0048
2017,WA00223,0.1592,0.6004,0.2363,0.0039
2017,WA00194,0.1722,0.5811,0.2424,0.0043
2017,WA00195,0.1588,0.6501,0.1867,0.0045
2017,WA00196,0.1807,0.6886,0.1267,0.0039
2017,WA00137,0.158,0.6717,0.1662,0.0039
2017,WA00138,0.1815,0.6616,0.1511,0.0059
2017,WA00217,0.1514,0.6302,0.2153,0.0034
2017,WA00139,0.0865,0.5803,0.3299,0.0036
2017,WA00140,0.2204,0.6364,0.138,0.0051
2017,WA00234,0.1785,0.6334,0.1845,0.0036
